ds,yhat,yhat_lower,yhat_upper
1982-01-01,5.694443630100128,5.402949052914479,6.00417380526406
1983-01-01,5.77022920544791,5.460385338755344,6.092101982416251
1984-01-01,5.8460147807956915,5.526948133469416,6.16146989058719
1985-01-01,5.922007987856755,5.606027986508142,6.220650893512024
1986-01-01,5.997793563204538,5.697809137536695,6.3024055789025955
1987-01-01,6.097237984877877,5.785899082829609,6.428675068944056
1988-01-01,6.196682406551217,5.865432194711324,6.509695905877291
1989-01-01,6.296399278694896,5.972651185866676,6.612705320703627
1990-01-01,6.395843700368236,6.094147068060122,6.714792836039009
1991-01-01,6.495288122041577,6.173901140583735,6.803463111290163
1992-01-01,6.594732543714917,6.293918404913096,6.93387321114402
1993-01-01,6.694449415858593,6.367738139348644,7.007533258188587
1994-01-01,6.793893837531935,6.473183873122391,7.113179321814315
1995-01-01,6.893338259205275,6.589771575097582,7.225895930386994
1996-01-01,6.992782680878615,6.682133663845094,7.323687556545386
1997-01-01,7.092499553022294,6.783089268774001,7.3967604916641205
1998-01-01,7.191943974695634,6.8499645818318315,7.493404952825814
1999-01-01,7.291388396368973,6.979910120381438,7.627625399601921
2000-01-01,7.390832818042313,7.063706711678592,7.703774255364921
2001-01-01,7.490549690185992,7.1711187692576,7.8125182347403666
2002-01-01,7.589994112868359,7.2930064273087,7.894408070187944
2003-01-01,7.689438534541697,7.378803559280545,8.000751334291074
2004-01-01,7.788882956215039,7.463695971966705,8.113094815264915
2005-01-01,7.888599828358718,7.5726135412282805,8.208018158709528
2006-01-01,7.988044250032055,7.681014866068222,8.317045048703305
2007-01-01,8.087488671705396,7.784626955557547,8.413996255031812
2008-01-01,8.186933093378736,7.869125904042159,8.500817035514116
2009-01-01,8.286649965522413,7.971539974592058,8.590428229950929
2010-01-01,8.386094387195755,8.07816323296251,8.702165439976287
2011-01-01,8.485538808869094,8.148286354894442,8.802743797594315
2012-01-01,8.584983230542434,8.280679912724107,8.903148807419822
2013-01-01,8.684700102686113,8.376232672119148,8.99480743758108
2013-12-31,8.783872073889116,8.470294911307146,9.08734291862597
2014-12-31,8.883316495562458,8.563220427040706,9.176328975010186
2015-12-31,8.982760917235796,8.672718523667827,9.324660081425737
2016-12-31,9.082477789379473,8.758739446724459,9.395112279650258
2017-12-31,9.181922211052814,8.885390794607906,9.509140594411477
2018-12-31,9.281366632726154,8.954196763630831,9.606251258588532
2019-12-31,9.380811054399492,9.076911630374793,9.689370510819879
2020-12-31,9.480527926543173,9.170035335130212,9.806142070291035
2021-12-31,9.579972348216513,9.269071929256102,9.91512816318773
2022-12-31,9.679416769889851,9.39001562745153,9.996972121406088
2023-12-31,9.778861191563195,9.454374311893039,10.087968180056725
2024-12-31,9.878578063706872,9.554955568238535,10.212597797738326
2025-12-31,9.978022485380208,9.676064046830406,10.309476963689422
2026-12-31,10.077466907053553,9.771754342504721,10.395254227527456
2027-12-31,10.17691132872689,9.864299817288602,10.502650087167662
2028-12-31,10.276628200870567,9.942173928376938,10.598954558059859
2029-12-31,10.37607262254391,10.066579385208376,10.68997358376011
2030-12-31,10.47551704421725,10.178473589353223,10.808077487817592
2031-12-31,10.574961465890588,10.25259761286914,10.890994595902487
2032-12-31,10.67467833803427,10.355557278432201,11.011320817622163
2033-12-31,10.77412276071658,10.423222632041142,11.09856702839275
2034-12-31,10.873567182389918,10.560251401049317,11.213753486282089
2035-12-31,10.973011604063261,10.62703925409346,11.305180879843535
2036-12-31,11.072728476206938,10.73673557451244,11.402166054035938
2037-12-31,11.172172897880275,10.837583549009961,11.531977391262501
2038-12-31,11.27161731955362,10.937826716227237,11.596596611488083
2039-12-31,11.371061741226956,11.024315185894107,11.737831782801097
2040-12-31,11.470778613370634,11.110683237333307,11.823937786365383
2041-12-31,11.570223035043977,11.224245298970606,11.921216829697189
2042-12-31,11.669667456717315,11.333929861425322,12.007923016724476
2043-12-31,11.769111878390655,11.385586974253417,12.133806768251572
2044-12-31,11.868828750534336,11.512588062848428,12.221123911856541
2045-12-31,11.968273172207674,11.635926234804735,12.345149011676723
2046-12-31,12.067717593881014,11.710974377424861,12.427588718079123
2047-12-31,12.167162015554355,11.795872736105197,12.549286572015715
2048-12-31,12.266878887698033,11.884490590532263,12.67233832174858
2049-12-31,12.36632330937137,11.971377108555943,12.765661212184897
2050-12-31,12.465767731044714,12.060851511630412,12.865647835080283
2051-12-31,12.565212152718052,12.192577279921448,12.953524425372022
2052-12-31,12.66492902486173,12.265952048044404,13.070515885510483
2053-12-31,12.764373446535071,12.376791005362074,13.180082139594
2054-12-31,12.863817868208411,12.458899552421517,13.270947963072667
2055-12-31,12.963262289881751,12.553687991021084,13.393777661740046
2056-12-31,13.062979162025432,12.64541137893721,13.508549458338075
2057-12-31,13.16242358369877,12.730457547479144,13.61322273837656
2058-12-31,13.26186800537211,12.811307244538833,13.684135709731889
